0,1,2,3,4,5,6,7,8,9,10,11
State Code,County Code,Site Number,POC WS,POC WD,POC TEMP,POC PM10,Latitude,Longitude,State Name,County Name,City Name
6.0,61.0,6.0,1.0,1.0,2.0,3.0,38.74643,-121.26498,California,Placer,Roseville
6.0,65.0,12.0,1.0,1.0,1.0,1.0,33.92086,-116.85841,California,Riverside,Banning
6.0,65.0,500.0,1.0,1.0,1.0,1.0,33.71969,-116.1897,California,Riverside,Indio
6.0,65.0,1999.0,1.0,1.0,1.0,1.0,33.56125,-116.153383,California,Riverside,Torres-Martinez I.R.
6.0,65.0,8001.0,1.0,1.0,1.0,2.0,33.99958,-117.41601,California,Riverside,Rubidoux
6.0,65.0,8001.0,nan,nan,nan,3.0,33.99958,-117.41601,California,Riverside,Rubidoux
6.0,65.0,8001.0,nan,nan,nan,4.0,33.99958,-117.41601,California,Riverside,Rubidoux
6.0,67.0,6.0,1.0,1.0,1.0,1.0,38.613779,-121.368014,California,Sacramento,Arden-Arcade
6.0,67.0,6.0,nan,nan,nan,2.0,38.613779,-121.368014,California,Sacramento,Arden-Arcade
6.0,67.0,10.0,1.0,1.0,2.0,4.0,38.56844,-121.49311,California,Sacramento,Sacramento
6.0,71.0,5.0,1.0,1.0,1.0,1.0,34.2431,-117.27235,California,San Bernardino,Crestline
6.0,73.0,1.0,1.0,1.0,1.0,2.0,32.631242,-117.059088,California,San Diego,Chula Vista
6.0,73.0,1014.0,1.0,1.0,1.0,1.0,32.57816,-116.92135,California,San Diego,Otay Mesa
6.0,73.0,1014.0,nan,nan,nan,2.0,32.57816,-116.92135,California,San Diego,Otay Mesa
6.0,73.0,1022.0,1.0,1.0,1.0,1.0,32.789565,-116.944308,California,San Diego,El Cajon
6.0,77.0,2010.0,1.0,1.0,1.0,3.0,37.793392,-121.247874,California,San Joaquin,Manteca
6.0,77.0,3005.0,1.0,1.0,1.0,3.0,37.682635,-121.442495,California,San Joaquin,Tracy
6.0,79.0,5.0,1.0,1.0,2.0,2.0,35.614668,-120.656912,California,San Luis Obispo,El Paso de Robles (corporate name for Paso Robles)
6.0,79.0,2004.0,1.0,1.0,1.0,3.0,35.02083,-120.56388,California,San Luis Obispo,Nipomo
6.0,79.0,4002.0,1.0,1.0,1.0,2.0,35.03146,-120.50103,California,San Luis Obispo,Nipomo
6.0,83.0,11.0,1.0,1.0,2.0,3.0,34.427775,-119.691218,California,Santa Barbara,Santa Barbara
6.0,83.0,1025.0,1.0,1.0,1.0,3.0,34.48974,-120.04692,California,Santa Barbara,Capitan
6.0,83.0,2004.0,1.0,1.0,1.0,2.0,34.63782,-120.4575,California,Santa Barbara,Lompoc
6.0,83.0,2011.0,1.0,1.0,1.0,1.0,34.44551,-119.8284,California,Santa Barbara,Goleta
6.0,85.0,5.0,1.0,1.0,1.0,1.0,37.348497,-121.894898,California,Santa Clara,San Jose
6.0,99.0,5.0,1.0,1.0,2.0,7.0,37.642165,-120.994212,California,Stanislaus,Modesto
6.0,99.0,6.0,1.0,1.0,1.0,1.0,37.488317,-120.836008,California,Stanislaus,Turlock
6.0,101.0,3.0,1.0,1.0,2.0,3.0,39.138773,-121.618549,California,Sutter,Yuba City
6.0,111.0,2002.0,1.0,1.0,1.0,3.0,34.276316,-118.683685,California,Ventura,Simi Valley
6.0,111.0,3001.0,1.0,1.0,1.0,3.0,34.25239,-119.143182,California,Ventura,Not in a City
8.0,1.0,3001.0,1.0,1.0,1.0,2.0,39.838119,-104.94984,Colorado,Adams,Welby
8.0,1.0,3001.0,nan,nan,nan,3.0,39.838119,-104.94984,Colorado,Adams,Welby
8.0,31.0,2.0,1.0,1.0,1.0,1.0,39.751184,-104.987625,Colorado,Denver,Denver
8.0,31.0,2.0,nan,nan,nan,2.0,39.751184,-104.987625,Colorado,Denver,Denver
8.0,31.0,26.0,1.0,1.0,1.0,1.0,39.77949,-105.00518,Colorado,Denver,Denver
8.0,31.0,26.0,nan,nan,2.0,2.0,39.77949,-105.00518,Colorado,Denver,Denver
8.0,45.0,19.0,1.0,1.0,1.0,2.0,39.43806,-108.02611,Colorado,Garfield,Battlement Mesa
9.0,1.0,1123.0,1.0,1.0,1.0,3.0,41.399167,-73.443056,Connecticut,Fairfield,Danbury
9.0,3.0,25.0,1.0,1.0,1.0,3.0,41.771444,-72.679923,Connecticut,Hartford,Hartford
9.0,3.0,1003.0,1.0,1.0,1.0,3.0,41.784722,-72.631667,Connecticut,Hartford,East Hartford
9.0,5.0,5.0,1.0,1.0,1.0,3.0,41.821342,-73.297257,Connecticut,Litchfield,Cornwall
9.0,9.0,27.0,1.0,1.0,1.0,1.0,41.3014,-72.902871,Connecticut,New Haven,New Haven
9.0,9.0,27.0,nan,nan,nan,2.0,41.3014,-72.902871,Connecticut,New Haven,New Haven
9.0,9.0,27.0,nan,nan,nan,3.0,41.3014,-72.902871,Connecticut,New Haven,New Haven
9.0,9.0,27.0,nan,nan,nan,4.0,41.3014,-72.902871,Connecticut,New Haven,New Haven
9.0,9.0,2123.0,1.0,1.0,1.0,3.0,41.550556,-73.043611,Connecticut,New Haven,Waterbury
11.0,1.0,43.0,2.0,2.0,2.0,4.0,38.921847,-77.013178,District Of Columbia,District of Columbia,Washington
13.0,89.0,2.0,1.0,1.0,1.0,1.0,33.6878,-84.2905,Georgia,DeKalb,Not in a City
